,x_0,x_1,x_2,x_3,u_0,u_1,ctg
0,10000.0,10000.0,10000.0,10000.0,83114.45928220029,32534.519083343883,219553.8960460712
1,26314.820711707544,37621.376693930266,37907.370574848275,77710.3280655851,79633.91880441431,-14903.10989468357,237671.17859566875
2,18125.137228912314,11829.094364000017,20421.957399177598,-7741.09355750763,-97971.36094061202,-43965.30282279387,735790.4066136554
3,-13515.876609050003,-200760.98026197535,-24041.675774849868,-439354.59141818265,-43802.14885126003,39126.73144349514,1083390.127254331
4,-16665.937300256046,-144754.7611318853,13786.007023477247,-230510.29773465468,56105.71275479853,-15412.166030339038,871434.5318751181
5,-28700.89884116095,126197.25413282368,-12423.83367553653,298395.5420353236,-71738.13736843484,31473.909200156224,895583.5945199677
6,10613.940978808638,119414.3622294334,-23422.20839019948,276415.5542366813,-86575.19242481948,-7661.024500675427,483931.8331359234
7,15890.789671036338,-3015.013904788676,-31002.244505718918,4157.719219256676,-68100.43995298247,-64647.12231462675,348654.90678027953
8,-23586.753071203537,-66060.85640520659,-43780.13949444699,-161161.39050862184,16363.179243860388,-83850.17640358424,534741.1883760199
9,-66617.00401265617,71013.9420188097,-38125.596778490995,64395.50608658421,-14959.464458335206,97312.2223239814,240152.04889654106
